FxCycle,H3K9ac,Caspase3,H3K14ac,phH3_S10,PAX6,H3K27ac,H3K4me3,Total H3,clusterid
4.3984,4.4979,-0.097599,0.11829,0.19823,1.6764,3.2135,4.7458,1.2387,NPC/G0_G1/H3
3.9678,4.4162,-0.23011,0.24667,0.25542,2.6523,3.6894,4.714,0.75562,NPC/G0_G1/H3
4.2993,4.5138,-0.25312,0.055658,0.13891,2.694,3.7169,4.8452,0.825,NPC/G0_G1/H3
4.0042,4.3108,0.097076,0.21505,0.16147,1.807,2.9938,4.744,1.2082,NPC/G0_G1/H3
4.1703,4.786,-0.8885,0.25033,0.3905,2.9703,3.8905,5.2371,1.6663,NPC/G0_G1/H3
4.4769,3.7015,-0.21351,-0.048644,-0.16236,1.9439,3.3891,4.2963,0.86015,NPC/G0_G1/H3
4.2537,4.4025,0.14951,0.25048,0.16482,1.7649,3.6657,5.0616,1.4875,NPC/G0_G1/H3
4.2639,4.4211,-0.37898,0.075412,-0.091839,2.0487,4.0677,4.8403,0.92857,NPC/G0_G1/H3
4.4691,4.362,0.08828,0.34808,0.04175,2.0324,3.783,5.126,1.7654,NPC/G0_G1/H3
4.1184,4.6753,-0.18234,0.3537,0.13333,2.4176,4.3296,5.2019,1.8057,NPC/G0_G1/H3
3.7049,4.1731,0.56497,0.2973,0.32469,1.9242,3.2609,4.9432,1.2933,NPC/G0_G1/H3
4.4919,4.6362,0.082698,0.28625,-0.066735,2.6171,3.3303,4.9099,1.0954,NPC/G0_G1/H3
4.4737,4.483,-0.35129,0.17472,0.085157,2.0292,3.1354,4.8847,1.339,NPC/G0_G1/H3
3.7121,4.3418,0.31711,0.27955,0.17573,2.4774,3.1608,4.7504,1.4314,NPC/G0_G1/H3
4.4307,4.2878,-0.23341,0.16644,0.061995,2.511,3.3276,5.1041,1.7288,NPC/G0_G1/H3
4.4451,4.7007,-0.4044,0.12051,0.20649,2.4881,4.038,4.9047,0.94103,NPC/G0_G1/H3
4.1584,4.7003,0.068004,0.24702,0.071174,2.5129,4.0361,5.0481,2.0414,NPC/G0_G1/H3
4.4779,4.3168,0.062507,-0.021972,-0.20611,2.9178,3.7325,4.5616,1.0002,NPC/G0_G1/H3
4.4188,4.3611,-0.19799,0.082146,0.23822,2.2883,3.6714,4.9782,1.5974,NPC/G0_G1/H3
4.2906,4.4899,2.9078,0.21351,0.12934,2.4263,3.0983,4.9229,1.2711,NPC/G0_G1/H3
4.2471,4.47,-0.14635,0.20307,0.010971,2.492,3.6108,5.0519,1.6459,NPC/G0_G1/H3
4.2123,4.7785,1.411,0.22312,0.27482,2.866,3.8048,4.9693,1.5896,NPC/G0_G1/H3
4.4146,4.5077,-0.27305,0.29762,0.39885,3.1522,3.65,5.1084,1.3988,NPC/G0_G1/H3
3.9696,4.5349,0.33956,0.41014,-0.0066407,1.8616,3.7887,4.9712,2.4059,NPC/G0_G1/H3
4.3869,4.4077,-0.15038,0.18773,0.0059235,3.9677,3.1792,5.0292,1.3115,NPC/G0_G1/H3
4.2096,3.781,-0.5158,0.24538,0.45094,2.5189,3.2596,4.8985,1.3009,NPC/G0_G1/H3
4.3499,4.7167,-0.27445,0.20027,-0.088166,3.8378,4.7369,5.4033,2.3277,NPC/G0_G1/H3
3.4817,4.2737,0.011944,0.19668,0.41334,2.1723,2.6081,4.5904,0.97278,NPC/G0_G1/H3
4.0221,4.3809,0.56675,0.42397,0.49272,1.9559,3.3499,5.1493,1.1293,NPC/G0_G1/H3
4.1661,4.6521,-0.24588,0.20849,0.13354,2.2899,4.2534,5.2643,2.0001,NPC/G0_G1/H3
4.4188,4.7812,0.37152,0.24841,0.15653,2.4379,4.4108,5.1404,1.0364,NPC/G0_G1/H3
4.1861,4.2169,0.18573,-0.067944,0.38759,2.8007,3.1459,4.5213,1.1153,NPC/G0_G1/H3
4.0123,4.6137,0.154,0.34907,-0.041635,3.0539,4.0951,5.0906,1.662,NPC/G0_G1/H3
3.8659,4.7595,0.35305,0.349,0.35547,3.1085,4.3365,4.9458,1.7905,NPC/G0_G1/H3
4.0745,4.5998,-0.059052,0.18315,0.16053,2.1969,3.2752,4.77,1.3905,NPC/G0_G1/H3
4.35,4.264,0.33168,0.30433,0.21943,2.8107,3.282,4.9736,1.5835,NPC/G0_G1/H3
4.3135,4.4316,-0.43715,0.25886,0.20291,2.3737,3.7833,5.1072,1.5437,NPC/G0_G1/H3
3.5492,4.5822,0.2831,0.55881,0.35446,1.8467,3.4645,5.1549,1.6572,NPC/G0_G1/H3
3.9749,4.4529,-0.51096,0.35124,0.1964,2.4411,3.9367,5.002,1.2314,NPC/G0_G1/H3
3.9862,4.2294,-0.21507,0.35279,0.12766,2.15,2.7102,4.7679,1.5252,NPC/G0_G1/H3
3.9991,4.8073,0.054054,0.094851,0.33222,2.7955,4.2727,4.8578,2.0687,NPC/G0_G1/H3
4.0891,4.4738,1.0934,0.7067,1.0805,3.9428,3.755,5.4168,1.8571,NPC/G0_G1/H3
4.2713,4.3078,-0.24319,0.25999,0.25387,1.9701,4.0735,5.1161,2.1455,NPC/G0_G1/H3
4.4832,3.7211,0.036578,-0.081906,-0.006669,2.1557,3.0183,4.3596,0.82249,NPC/G0_G1/H3
4.3322,5.1568,0.56544,0.34341,-0.065207,3.9504,4.0507,5.0007,1.5476,NPC/G0_G1/H3
4.2894,4.3112,-0.20415,0.22608,0.24411,2.8176,3.548,5.1149,1.7414,NPC/G0_G1/H3
4.2396,3.9977,-0.051742,0.47223,0.17548,2.302,3.5742,5.1436,1.6203,NPC/G0_G1/H3
4.2634,4.6705,-0.52287,0.72381,0.41761,2.4643,3.8684,5.2826,1.4617,NPC/G0_G1/H3
4.4587,4.5189,-0.33896,0.10658,0.027475,2.1445,3.1251,4.8268,0.98367,NPC/G0_G1/H3
4.0108,4.3929,-0.10621,0.40046,0.24344,2.3387,2.9852,4.8752,1.3441,NPC/G0_G1/H3
4.4153,4.3257,0.27263,0.18804,-0.25466,3.0676,3.2882,4.7513,1.4614,NPC/G0_G1/H3
4.1658,4.2188,-0.24818,0.34016,0.33659,2.6783,3.9067,4.9162,1.456,NPC/G0_G1/H3
4.355,4.5135,0.041388,0.19743,-0.15663,2.4733,3.8126,4.8294,1.2704,NPC/G0_G1/H3
4.3338,4.4344,-0.50205,0.46953,0.21325,1.8724,3.567,5.1687,1.36,NPC/G0_G1/H3
4.3321,4.5634,-0.19213,0.19486,0.063237,2.3298,3.2184,4.7952,1.1068,NPC/G0_G1/H3
4.5128,5.5614,-0.059705,0.50763,0.35771,2.657,4.0764,5.0451,1.2446,NPC/G0_G1/H3
4.3212,4.5019,-0.10678,0.075328,0.70784,3.082,3.5336,5.1135,1.8254,NPC/G0_G1/H3
4.3461,4.5839,-0.15342,0.15878,0.30467,3.1717,4.3368,5.0396,1.7961,NPC/G0_G1/H3
4.4562,4.1352,-0.40471,0.30555,0.31014,1.8009,4.4173,5.6536,2.598,NPC/G0_G1/H3
3.9313,4.6144,0.01552,-0.073481,0.96733,3.819,4.5589,5.0547,1.6311,NPC/G0_G1/H3
4.0084,5.2287,-0.051599,0.36706,0.45115,3.3824,4.9126,5.3408,2.1206,NPC/G0_G1/H3
4.4364,4.3222,-0.17498,0.17111,-0.14155,1.8065,2.9771,4.8732,1.2383,NPC/G0_G1/H3
4.4617,4.5769,-0.39308,0.27099,0.16993,2.3635,4.4239,5.3284,2.3557,NPC/G0_G1/H3
4.5124,4.2109,-0.65504,0.37413,0.095881,2.6827,3.7381,5.0015,1.4799,NPC/G0_G1/H3
4.3107,4.2017,-0.067023,0.20719,0.25461,1.7113,2.9988,4.7871,1.038,NPC/G0_G1/H3
4.3406,4.2638,-0.28375,0.26003,0.1833,1.8097,3.8656,5.155,1.9075,NPC/G0_G1/H3
4.3497,4.8983,0.65972,-0.003973,0.083316,3.1161,3.8688,4.6693,1.5209,NPC/G0_G1/H3
4.4677,4.2379,-0.13948,0.19606,0.4398,2.8708,3.9587,4.5858,1.1106,NPC/G0_G1/H3
4.3156,4.4309,-0.6,0.25261,0.14112,2.684,3.9564,5.1359,1.4931,NPC/G0_G1/H3
4.4767,4.3208,-0.58311,0.20337,0.12121,2.1631,2.9349,5.0115,1.5777,NPC/G0_G1/H3
4.5116,4.0801,-0.44623,0.23019,0.07291,2.3807,3.4626,5.127,1.6164,NPC/G0_G1/H3
4.4097,4.0829,-0.35324,0.20942,0.1633,2.4199,2.6589,4.7471,0.76563,NPC/G0_G1/H3
3.899,4.9232,-0.31351,0.46588,0.49728,2.4462,4.1406,5.2311,1.6665,NPC/G0_G1/H3
4.4339,4.52,-0.1086,0.25215,0.012982,1.739,3.5774,4.8596,1.7533,NPC/G0_G1/H3
4.3412,4.639,-0.29106,-0.008058,0.3467,2.9435,4.3538,4.7896,1.1789,NPC/G0_G1/H3
4.4874,4.2276,0.70638,0.14796,-0.20131,2.5973,4.1063,4.9137,1.3018,NPC/G0_G1/H3
4.3189,5.4519,-0.58817,0.5998,0.52494,2.8285,4.4615,5.3592,2.0708,NPC/G0_G1/H3
4.3331,5.5362,-0.67272,0.78714,0.24869,1.843,3.9854,5.2885,1.9318,NPC/G0_G1/H3
4.4421,4.2168,-0.43155,0.044875,0.067927,2.6162,3.5379,5.0751,1.4532,NPC/G0_G1/H3
3.8301,4.154,0.34362,0.20288,0.17488,2.7291,3.2702,4.8744,1.5809,NPC/G0_G1/H3
3.7831,4.425,0.015266,0.2383,0.30687,2.335,3.1613,4.5895,0.89228,NPC/G0_G1/H3
4.1348,4.4847,-0.11014,0.47291,0.58878,1.776,3.4135,4.9118,0.96693,NPC/G0_G1/H3
4.4582,4.0591,-0.17253,0.080129,0.021905,2.1765,2.7634,4.6617,1.129,NPC/G0_G1/H3
4.2264,4.3712,-0.27346,0.20055,0.1778,2.0104,3.0924,4.8962,1.4481,NPC/G0_G1/H3
4.2404,4.0067,0.012529,0.16294,-0.053126,1.9854,3.0735,4.9462,1.4131,NPC/G0_G1/H3
4.4957,4.196,-0.43261,0.4052,0.25172,3.1065,3.4315,5.0555,1.5015,NPC/G0_G1/H3
4.4779,4.3382,0.10833,0.076696,-0.19044,2.2199,3.3437,4.9458,1.3695,NPC/G0_G1/H3
3.9722,4.3286,-0.41549,0.24012,0.22989,2.5313,3.3232,4.9743,1.4512,NPC/G0_G1/H3
