event,H3K9ac,LD,Total H3,gate,treatment
5102,2.8554,0.91453,2.7186,H3 Total,SAHA 05 um
5103,2.1357,0.77399,2.5879,H3 Total,SAHA 05 um
5104,2.3966,1.2623,1.8006,H3 Total,SAHA 05 um
5105,3.0083,0.5307,0.72094,H3Kac,SAHA 05 um
5106,2.021,0.44499,0.77875,H3Kac,SAHA 05 um
5107,3.1721,0.75329,1.438,H3 Total,SAHA 05 um
5109,2.4807,1.8048,2.1344,H3 Total,SAHA 05 um
5110,1.2398,1.5163,0.94761,H3Kac,SAHA 05 um
5111,2.4181,1.2469,1.3523,H3 Total,SAHA 05 um
5113,2.294,0.61108,1.2738,H3 Total,SAHA 05 um
5114,2.6828,1.7078,1.2871,H3 Total,SAHA 05 um
5115,3.0446,0.46449,1.155,H3 Total,SAHA 05 um
5116,1.2005,0.5277,0.6366,H3Kac,SAHA 05 um
5117,0.56815,0.59659,1.1689,H3 Total,SAHA 05 um
5118,1.224,0.60566,1.4235,H3 Total,SAHA 05 um
5119,1.3283,0.54534,0.67866,H3Kac,SAHA 05 um
5120,2.7199,1.3579,1.8451,H3 Total,SAHA 05 um
5122,2.1238,0.53015,1.3786,H3 Total,SAHA 05 um
5123,3.9133,1.3517,1.7862,H3 Total,SAHA 05 um
5124,2.4475,0.35534,1.0224,H3 Total,SAHA 05 um
5125,2.0335,1.8105,1.4816,H3 Total,SAHA 05 um
5128,1.6719,0.40873,1.0694,H3 Total,SAHA 05 um
5129,2.1159,0.60604,2.0215,H3 Total,SAHA 05 um
5130,1.4122,0.33938,2.0028,H3 Total,SAHA 05 um
5132,1.1703,1.8543,1.4972,H3 Total,SAHA 05 um
5133,1.9339,0.98392,1.5551,H3 Total,SAHA 05 um
5134,0.95917,1.3815,2.8948,H3 Total,SAHA 05 um
5135,2.383,1.3141,1.3748,H3 Total,SAHA 05 um
5136,2.2894,0.5056,1.7011,H3 Total,SAHA 05 um
5137,2.2329,0.3462,0.68759,H3Kac,SAHA 05 um
5138,2.9043,0.66303,1.5901,H3 Total,SAHA 05 um
5140,1.7524,2.0576,1.6841,H3 Total,SAHA 05 um
5142,1.0488,0.43459,0.88783,H3Kac,SAHA 05 um
5143,1.8792,0.68558,1.1041,H3 Total,SAHA 05 um
5147,1.3221,0.58563,1.8873,H3 Total,SAHA 05 um
5148,1.8636,0.38809,0.7719,H3Kac,SAHA 05 um
5150,1.4895,1.4919,1.8533,H3 Total,SAHA 05 um
