event,H3K9ac,LD,Total H3,gate,treatment
6859,1.3047,0.68759,1.3714,H3 Total,SAHA 05 um
6860,1.2556,0.40005,0.79183,H3Kac,SAHA 05 um
6861,1.8695,0.65806,1.1647,H3 Total,SAHA 05 um
6862,1.2328,0.63329,1.6226,H3 Total,SAHA 05 um
6863,1.8074,1.8061,0.45435,H3Kac,SAHA 05 um
6865,2.9512,1.4042,1.7254,H3 Total,SAHA 05 um
6869,2.0038,0.6084,2.6214,H3 Total,SAHA 05 um
6871,2.3769,1.0708,1.9561,H3 Total,SAHA 05 um
6872,1.2311,0.44165,0.9723,H3Kac,SAHA 05 um
6874,2.7567,0.93902,1.8276,H3 Total,SAHA 05 um
6875,1.2486,0.32741,1.6534,H3 Total,SAHA 05 um
6876,2.1018,0.60194,1.2881,H3 Total,SAHA 05 um
6877,0.5307,0.42221,2.1486,H3 Total,SAHA 05 um
6878,1.188,1.4249,0.64654,H3Kac,SAHA 05 um
6879,1.1059,0.70784,0.18916,H3Kac,SAHA 05 um
6880,1.9677,0.38721,0.83947,H3Kac,SAHA 05 um
6881,1.2033,0.48765,1.9665,H3 Total,SAHA 05 um
6885,1.6131,0.56541,1.99,H3 Total,SAHA 05 um
6889,3.4285,0.48467,0.67957,H3Kac,SAHA 05 um
6891,0.7792,1.249,0.17705,H3Kac,SAHA 05 um
6893,3.5829,0.68918,1.6408,H3 Total,SAHA 05 um
6894,2.3788,1.0476,0.82548,H3Kac,SAHA 05 um
6895,1.6662,1.7865,0.93933,H3Kac,SAHA 05 um
6896,0.024607,1.8121,1.8845,H3 Total,SAHA 05 um
6897,1.2135,0.85683,2.5364,H3 Total,SAHA 05 um
6898,1.7232,1.248,1.1376,H3 Total,SAHA 05 um
6902,0.76057,0.45885,2.3577,H3 Total,SAHA 05 um
6905,1.2721,0.33463,0.79239,H3Kac,SAHA 05 um
6906,2.6325,0.48537,0.86447,H3Kac,SAHA 05 um
6907,0.95743,0.51048,0.68918,H3Kac,SAHA 05 um
6909,2.9785,0.66908,1.92,H3 Total,SAHA 05 um
6914,1.5053,0.33391,0.77921,H3Kac,SAHA 05 um
6915,0.068286,1.9046,1.0204,H3 Total,SAHA 05 um
6916,1.1918,0.43184,1.973,H3 Total,SAHA 05 um
6917,1.5624,0.73924,2.4765,H3 Total,SAHA 05 um
6922,1.284,0.90248,2.4423,H3 Total,SAHA 05 um
6924,0.54469,0.33554,1.0891,H3 Total,SAHA 05 um
6927,1.0102,0.29101,1.5929,H3 Total,SAHA 05 um
6929,0.55856,0.45119,1.1447,H3 Total,SAHA 05 um
6931,2.4713,0.511,1.1667,H3 Total,SAHA 05 um
6932,1.8289,1.2605,0.82415,H3Kac,SAHA 05 um
6933,2.5113,0.5542,1.6401,H3 Total,SAHA 05 um
6936,1.5884,1.18,1.1674,H3 Total,SAHA 05 um
6937,2.1633,0.42345,0.49857,H3Kac,SAHA 05 um
6938,1.1978,1.5955,1.3554,H3 Total,SAHA 05 um
6939,0.54088,0.37636,0.78233,H3Kac,SAHA 05 um
6940,2.2568,1.3831,2.3024,H3 Total,SAHA 05 um
6942,1.9298,0.79862,2.266,H3 Total,SAHA 05 um
6943,1.5844,0.50384,1.2469,H3 Total,SAHA 05 um
6944,0.87386,0.50364,0.95562,H3Kac,SAHA 05 um
6947,1.2122,0.58459,0.86368,H3Kac,SAHA 05 um
6948,1.3616,0.36905,0.91128,H3Kac,SAHA 05 um
6949,1.374,0.99959,1.6394,H3 Total,SAHA 05 um
6952,1.5261,0.7186,1.7454,H3 Total,SAHA 05 um
6953,1.7126,1.3023,2.121,H3 Total,SAHA 05 um
6954,3.096,0.69719,0.97472,H3Kac,SAHA 05 um
6956,0.87943,0.38623,1.7501,H3 Total,SAHA 05 um
6958,2.245,1.1512,1.7632,H3 Total,SAHA 05 um
6961,1.9199,0.40359,0.77811,H3Kac,SAHA 05 um
6962,2.5832,0.96725,0.6463,H3Kac,SAHA 05 um
6964,1.1918,0.35409,0.99126,H3Kac,SAHA 05 um
6965,0.60499,0.33805,0.74021,H3Kac,SAHA 05 um
6966,1.5094,0.44829,1.139,H3 Total,SAHA 05 um
6968,2.0204,0.72068,0.78804,H3Kac,SAHA 05 um
6969,1.7302,0.6242,2.2836,H3 Total,SAHA 05 um
6972,3.1495,0.43996,1.1074,H3 Total,SAHA 05 um
6973,1.187,0.24563,0.92146,H3Kac,SAHA 05 um
6974,1.7131,0.59464,0.83543,H3Kac,SAHA 05 um
6975,3.489,0.75518,0.72607,H3Kac,SAHA 05 um
6976,2.1288,0.21762,0.62717,H3Kac,SAHA 05 um
6977,2.2428,0.41953,1.0718,H3 Total,SAHA 05 um
6978,1.608,0.88156,0.99339,H3Kac,SAHA 05 um
6979,1.0479,0.50679,0.95354,H3Kac,SAHA 05 um
6980,3.3423,0.40743,1.49,H3 Total,SAHA 05 um
6983,0.6336,1.5235,0.47995,H3Kac,SAHA 05 um
6986,1.1813,0.37114,1.2903,H3 Total,SAHA 05 um
6987,2.3563,0.43678,0.8108,H3Kac,SAHA 05 um
6988,1.9089,0.8212,0.93964,H3Kac,SAHA 05 um
6989,2.4349,0.68082,1.411,H3 Total,SAHA 05 um
6992,0.94877,0.32352,1.5219,H3 Total,SAHA 05 um
6993,3.4019,0.7659,1.3842,H3 Total,SAHA 05 um
6994,1.9077,1.8064,1.8638,H3 Total,SAHA 05 um
6997,1.5591,2.0447,0.50659,H3Kac,SAHA 05 um
6998,0.011694,0.41086,3.0598,H3 Total,SAHA 05 um
6999,2.5305,0.48638,1.9457,H3 Total,SAHA 05 um
7000,2.022,0.37274,1.9087,H3 Total,SAHA 05 um
7003,3.0436,0.89233,0.72068,H3Kac,SAHA 05 um
7007,3.7717,0.67279,1.2303,H3 Total,SAHA 05 um
7009,3.5046,0.44941,1.2602,H3 Total,SAHA 05 um
7011,2.1978,0.48442,1.2046,H3 Total,SAHA 05 um
7012,0.023104,1.7188,2.3655,H3 Total,SAHA 05 um
7013,1.5653,0.33179,0.75625,H3Kac,SAHA 05 um
7014,3.0891,1.8811,2.343,H3 Total,SAHA 05 um
7016,0.84228,0.46682,1.207,H3 Total,SAHA 05 um
7018,0.77689,0.39374,0.71015,H3Kac,SAHA 05 um
7020,1.4757,0.48354,0.76129,H3Kac,SAHA 05 um
7024,1.6266,0.35548,0.87323,H3Kac,SAHA 05 um
7025,0.14604,0.63684,2.7143,H3 Total,SAHA 05 um
7030,2.0785,0.26651,0.82863,H3Kac,SAHA 05 um
7031,3.3904,1.291,0.13494,H3Kac,SAHA 05 um
7032,2.6147,0.87126,1.526,H3 Total,SAHA 05 um
7037,1.891,0.32396,0.87769,H3Kac,SAHA 05 um
7038,1.1765,0.5204,1.3302,H3 Total,SAHA 05 um
7039,0.82988,0.37364,1.0741,H3 Total,SAHA 05 um
7040,2.891,0.46718,1.6199,H3 Total,SAHA 05 um
7041,1.1028,0.3939,2.0003,H3 Total,SAHA 05 um
7042,1.9084,0.41919,1.6234,H3 Total,SAHA 05 um
7043,2.9566,1.7221,0.9445,H3Kac,SAHA 05 um
7044,0.17041,1.857,2.6134,H3 Total,SAHA 05 um
7047,0.66404,1.6592,1.1966,H3 Total,SAHA 05 um
7048,1.3516,0.38303,0.82491,H3Kac,SAHA 05 um
7049,2.5366,0.73132,1.2688,H3 Total,SAHA 05 um
7050,1.766,0.36534,0.86565,H3Kac,SAHA 05 um
7051,0.65008,0.86889,0.61962,H3Kac,SAHA 05 um
7054,1.2249,0.32418,0.91402,H3Kac,SAHA 05 um
7055,3.0433,0.78389,1.2719,H3 Total,SAHA 05 um
7056,1.5677,0.55946,1.1199,H3 Total,SAHA 05 um
7057,1.5925,0.40683,2.7856,H3 Total,SAHA 05 um
7058,1.227,0.7426,2.1686,H3 Total,SAHA 05 um
7059,0.88042,0.32106,2.084,H3 Total,SAHA 05 um
7060,0.90159,1.3679,1.2813,H3 Total,SAHA 05 um
7062,3.3371,0.41886,2.7269,H3 Total,SAHA 05 um
7065,1.0559,0.57039,1.2676,H3 Total,SAHA 05 um
7067,2.927,0.34906,0.79462,H3Kac,SAHA 05 um
7068,1.5069,0.81193,0.84294,H3Kac,SAHA 05 um
7075,0.53395,0.47211,0.73264,H3Kac,SAHA 05 um
7076,1.5371,1.4095,0.74927,H3Kac,SAHA 05 um
7077,0.70394,0.39185,0.84352,H3Kac,SAHA 05 um
7083,2.3594,0.51799,2.6156,H3 Total,SAHA 05 um
7084,0.73489,0.2899,1.8264,H3 Total,SAHA 05 um
7086,1.0464,0.36741,1.7822,H3 Total,SAHA 05 um
7087,2.2944,0.29053,1.0339,H3 Total,SAHA 05 um
7091,3.1986,1.5295,0.89073,H3Kac,SAHA 05 um
7093,1.3279,1.5204,2.6089,H3 Total,SAHA 05 um
7094,2.1421,0.79881,1.0187,H3 Total,SAHA 05 um
7095,1.1604,0.43258,2.4344,H3 Total,SAHA 05 um
7097,1.6221,0.43241,1.901,H3 Total,SAHA 05 um
7099,1.7876,0.47939,1.6674,H3 Total,SAHA 05 um
7100,0.7751,0.50711,1.4008,H3 Total,SAHA 05 um
7101,1.3692,1.0398,0.11421,H3Kac,SAHA 05 um
7103,1.787,0.33152,2.8185,H3 Total,SAHA 05 um
7106,1.156,0.50521,1.1925,H3 Total,SAHA 05 um
7107,2.4726,0.35997,1.0864,H3 Total,SAHA 05 um
7108,1.6394,0.21693,0.65039,H3Kac,SAHA 05 um
7109,1.0917,1.8853,0.13888,H3Kac,SAHA 05 um
7111,0.59636,1.2067,0.97673,H3Kac,SAHA 05 um
7112,2.2773,0.9551,0.13196,H3Kac,SAHA 05 um
7113,3.3161,1.5059,0.77463,H3Kac,SAHA 05 um
7114,1.318,0.39829,0.84044,H3Kac,SAHA 05 um
7116,1.0362,0.4044,0.94419,H3Kac,SAHA 05 um
7117,1.7955,0.44165,1.6772,H3 Total,SAHA 05 um
7119,2.6029,0.34424,1.3973,H3 Total,SAHA 05 um
7121,0.033071,2.0323,1.5245,H3 Total,SAHA 05 um
7123,0.57434,0.36905,1.0395,H3 Total,SAHA 05 um
7126,1.7302,0.98011,1.7013,H3 Total,SAHA 05 um
7127,1.5268,0.90037,0.72974,H3Kac,SAHA 05 um
7130,2.5316,1.8284,0.70459,H3Kac,SAHA 05 um
7133,0.59157,1.6858,0.42643,H3Kac,SAHA 05 um
7134,1.6415,0.49721,1.1875,H3 Total,SAHA 05 um
7137,1.8209,0.94119,1.2123,H3 Total,SAHA 05 um
7138,0.031555,1.8559,1.2452,H3 Total,SAHA 05 um
7139,2.2279,0.76156,1.1959,H3 Total,SAHA 05 um
7140,3.3811,0.51645,0.79276,H3Kac,SAHA 05 um
7141,1.7394,0.38799,2.3871,H3 Total,SAHA 05 um
7143,1.8603,1.5333,0.45994,H3Kac,SAHA 05 um
7144,1.5128,0.42305,0.77317,H3Kac,SAHA 05 um
7147,1.9266,0.42395,0.67204,H3Kac,SAHA 05 um
7149,2.3836,0.45435,1.9983,H3 Total,SAHA 05 um
7150,1.9552,0.41393,0.89916,H3Kac,SAHA 05 um
7151,2.8517,0.75437,1.5559,H3 Total,SAHA 05 um
7153,2.1833,0.60475,1.6572,H3 Total,SAHA 05 um
7154,3.2093,0.3967,1.3392,H3 Total,SAHA 05 um
7155,0.79381,1.7862,1.1994,H3 Total,SAHA 05 um
7157,1.8886,0.29353,0.67626,H3Kac,SAHA 05 um
7159,1.1513,0.37394,0.74127,H3Kac,SAHA 05 um
7160,2.1705,0.80544,1.258,H3 Total,SAHA 05 um
7161,0.57001,0.33975,0.67518,H3Kac,SAHA 05 um
7162,2.4958,1.6277,0.90632,H3Kac,SAHA 05 um
7164,0.726,0.39941,0.92156,H3Kac,SAHA 05 um
7165,2.0896,0.3855,1.3505,H3 Total,SAHA 05 um
7166,0.77937,0.39532,2.3585,H3 Total,SAHA 05 um
7167,1.3212,0.34494,0.79499,H3Kac,SAHA 05 um
7168,3.535,0.48918,0.96945,H3Kac,SAHA 05 um
7170,1.5652,1.1616,0.84672,H3Kac,SAHA 05 um
7171,2.0697,0.86879,0.99563,H3Kac,SAHA 05 um
7172,1.0212,1.3686,0.152,H3Kac,SAHA 05 um
7173,2.47,0.46431,1.2145,H3 Total,SAHA 05 um
7175,0.86136,0.46523,2.7835,H3 Total,SAHA 05 um
7176,1.2642,1.7707,1.032,H3 Total,SAHA 05 um
7177,2.6624,0.59389,1.095,H3 Total,SAHA 05 um
7178,2.029,0.77902,0.83486,H3Kac,SAHA 05 um
7179,0.85636,0.58637,0.9188,H3Kac,SAHA 05 um
7182,1.5274,0.43338,2.0559,H3 Total,SAHA 05 um
7183,1.4756,0.55711,0.76563,H3Kac,SAHA 05 um
7185,0.51315,0.40375,1.6822,H3 Total,SAHA 05 um
7187,2.7442,0.38561,2.0636,H3 Total,SAHA 05 um
7189,2.9686,1.5017,2.5009,H3 Total,SAHA 05 um
7190,1.4022,0.4295,1.1717,H3 Total,SAHA 05 um
7191,0.42408,0.37379,1.0207,H3 Total,SAHA 05 um
7192,2.7525,0.45453,2.5647,H3 Total,SAHA 05 um
7193,1.8479,1.7159,0.12276,H3Kac,SAHA 05 um
7194,3.3836,0.8337,2.1039,H3 Total,SAHA 05 um
7196,2.0216,0.76563,1.5245,H3 Total,SAHA 05 um
7197,0.6578,1.1674,0.86653,H3Kac,SAHA 05 um
7198,0.72876,1.9743,3.1146,H3 Total,SAHA 05 um
7200,1.8843,0.3959,0.73158,H3Kac,SAHA 05 um
7201,2.0144,0.41686,1.3204,H3 Total,SAHA 05 um
7202,0.85564,0.87057,0.76862,H3Kac,SAHA 05 um
7203,0.63,0.6097,0.90278,H3Kac,SAHA 05 um
7205,1.1303,0.39749,1.1799,H3 Total,SAHA 05 um
7206,2.6046,0.34667,1.4232,H3 Total,SAHA 05 um
7208,1.6104,0.38592,0.84266,H3Kac,SAHA 05 um
7211,2.4298,1.6121,0.57563,H3Kac,SAHA 05 um
7212,1.4624,0.5693,0.7426,H3Kac,SAHA 05 um
7213,3.4925,0.49206,0.85196,H3Kac,SAHA 05 um
7215,2.2807,1.2492,0.29993,H3Kac,SAHA 05 um
7216,1.4042,0.34503,1.1335,H3 Total,SAHA 05 um
7217,1.0456,1.7707,0.57907,H3Kac,SAHA 05 um
7218,2.1159,0.4814,1.2777,H3 Total,SAHA 05 um
7220,1.2781,1.1876,0.55138,H3Kac,SAHA 05 um
7227,1.5175,0.63116,2.6886,H3 Total,SAHA 05 um
7230,2.6317,0.35895,2.5787,H3 Total,SAHA 05 um
7231,2.7396,0.36372,1.0326,H3 Total,SAHA 05 um
7233,1.9253,1.1226,1.3,H3 Total,SAHA 05 um
7235,0.7487,0.44906,0.89946,H3Kac,SAHA 05 um
7236,2.9744,0.85712,0.85274,H3Kac,SAHA 05 um
7237,1.0941,1.7687,0.25971,H3Kac,SAHA 05 um
7238,0.71936,0.27015,0.54471,H3Kac,SAHA 05 um
7239,0.013976,1.7076,1.6498,H3 Total,SAHA 05 um
7240,3.9133,0.5118,1.4873,H3 Total,SAHA 05 um
7242,2.3236,0.42277,1.6369,H3 Total,SAHA 05 um
7243,1.173,0.50876,2.9778,H3 Total,SAHA 05 um
7244,2.5474,0.7199,2.6551,H3 Total,SAHA 05 um
7246,3.177,0.85683,1.4238,H3 Total,SAHA 05 um
7248,2.5936,0.34897,1.1176,H3 Total,SAHA 05 um
7251,0.80452,0.3219,0.72564,H3Kac,SAHA 05 um
7253,2.5906,0.45048,0.98934,H3Kac,SAHA 05 um
7254,1.0898,0.50521,1.4972,H3 Total,SAHA 05 um
7255,2.1229,0.49321,3.1941,H3 Total,SAHA 05 um
7256,0.93224,1.1234,1.0398,H3 Total,SAHA 05 um
7259,2.6774,0.91748,1.0777,H3 Total,SAHA 05 um
7261,1.4958,0.72616,2.1743,H3 Total,SAHA 05 um
7262,1.6274,1.206,0.84846,H3Kac,SAHA 05 um
7264,2.6049,0.80245,1.1559,H3 Total,SAHA 05 um
7265,1.5699,0.41992,0.64375,H3Kac,SAHA 05 um
7266,2.3469,0.29834,0.94026,H3Kac,SAHA 05 um
7267,1.7165,0.28281,1.0217,H3 Total,SAHA 05 um
7268,2.6654,0.47601,0.78472,H3Kac,SAHA 05 um
7269,2.3482,0.23393,0.39374,H3Kac,SAHA 05 um
7271,1.1241,0.29639,0.73211,H3Kac,SAHA 05 um
7272,1.7338,0.66679,1.4425,H3 Total,SAHA 05 um
7273,1.7886,0.91606,1.6611,H3 Total,SAHA 05 um
7275,2.6643,1.6451,1.5464,H3 Total,SAHA 05 um
7276,2.4853,0.58518,0.80133,H3Kac,SAHA 05 um
7279,3.0951,0.55314,0.48221,H3Kac,SAHA 05 um
7280,2.5805,1.1973,1.0951,H3 Total,SAHA 05 um
7281,2.3996,0.71445,0.72555,H3Kac,SAHA 05 um
7282,0.65031,1.1766,2.8326,H3 Total,SAHA 05 um
7284,2.1945,1.1957,2.2059,H3 Total,SAHA 05 um
7285,0.17148,1.6892,2.178,H3 Total,SAHA 05 um
7286,1.1448,0.45813,2.7768,H3 Total,SAHA 05 um
7287,2.7231,0.57431,2.9971,H3 Total,SAHA 05 um
7288,2.6666,0.40085,0.92279,H3Kac,SAHA 05 um
7289,0.9414,0.43973,0.78693,H3Kac,SAHA 05 um
7293,2.4873,0.63542,1.1864,H3 Total,SAHA 05 um
7295,2.9958,0.65088,3.1887,H3 Total,SAHA 05 um
7296,1.1898,1.1963,0.59277,H3Kac,SAHA 05 um
7297,1.6853,0.32616,0.57235,H3Kac,SAHA 05 um
7298,2.5665,1.8515,1.9263,H3 Total,SAHA 05 um
7300,3.5143,0.45507,0.43052,H3Kac,SAHA 05 um
7301,1.4483,0.36929,0.82634,H3Kac,SAHA 05 um
7303,1.6835,0.45328,1.3057,H3 Total,SAHA 05 um
7304,1.328,0.65233,0.85595,H3Kac,SAHA 05 um
7307,0.79576,0.4762,0.81221,H3Kac,SAHA 05 um
7311,3.0369,0.63423,1.8068,H3 Total,SAHA 05 um
7312,2.3343,1.5445,0.25772,H3Kac,SAHA 05 um
7313,1.3163,0.62343,2.1902,H3 Total,SAHA 05 um
7315,0.87545,0.1747,1.5276,H3 Total,SAHA 05 um
7319,2.1021,0.67023,1.5265,H3 Total,SAHA 05 um
7320,1.0013,0.44235,0.86889,H3Kac,SAHA 05 um
7321,2.1901,1.0877,0.785,H3Kac,SAHA 05 um
7324,1.5103,0.64654,0.62211,H3Kac,SAHA 05 um
7325,2.749,1.6826,1.1712,H3 Total,SAHA 05 um
7328,2.0355,0.63803,0.71376,H3Kac,SAHA 05 um
7329,1.5357,0.85683,0.58518,H3Kac,SAHA 05 um
7331,1.027,0.43956,1.6038,H3 Total,SAHA 05 um
7332,2.4825,0.54471,2.3246,H3 Total,SAHA 05 um
7333,2.2113,0.38468,0.68884,H3Kac,SAHA 05 um
7334,2.7879,0.5717,0.6649,H3Kac,SAHA 05 um
7337,1.2802,0.3078,2.0182,H3 Total,SAHA 05 um
7340,0.078895,1.671,2.8255,H3 Total,SAHA 05 um
7344,0.80765,0.31574,0.62218,H3Kac,SAHA 05 um
7345,1.2486,0.47032,0.89494,H3Kac,SAHA 05 um
7346,1.4388,0.43189,0.7886,H3Kac,SAHA 05 um
7349,2.71,0.34104,0.8175,H3Kac,SAHA 05 um
7351,1.9654,0.29361,0.63969,H3Kac,SAHA 05 um
7356,1.4441,0.29265,1.4391,H3 Total,SAHA 05 um
7357,1.5088,0.38566,1.1778,H3 Total,SAHA 05 um
7360,2.4193,0.49566,2.7148,H3 Total,SAHA 05 um
7362,1.1183,0.38877,2.1109,H3 Total,SAHA 05 um
7363,1.5017,0.41482,0.85634,H3Kac,SAHA 05 um
7364,1.0996,0.70126,0.40241,H3Kac,SAHA 05 um
7365,3.1857,0.44434,1.4782,H3 Total,SAHA 05 um
7366,1.8965,1.7084,2.5783,H3 Total,SAHA 05 um
7369,1.6343,0.88833,1.1353,H3 Total,SAHA 05 um
7370,1.6861,0.66834,1.9038,H3 Total,SAHA 05 um
7374,1.3561,0.43782,0.8387,H3Kac,SAHA 05 um
7375,3.1342,1.3553,0.83889,H3Kac,SAHA 05 um
7376,2.4596,0.29125,0.99019,H3Kac,SAHA 05 um
7377,1.4871,0.37054,2.0514,H3 Total,SAHA 05 um
7378,2.5875,1.1526,1.5768,H3 Total,SAHA 05 um
7382,0.87625,1.5843,0.17519,H3Kac,SAHA 05 um
7383,1.6042,0.4506,2.6314,H3 Total,SAHA 05 um
7385,2.7284,1.4015,1.0655,H3 Total,SAHA 05 um
7388,1.0997,0.43857,1.032,H3 Total,SAHA 05 um
7393,1.7159,0.69609,1.2877,H3 Total,SAHA 05 um
7395,3.0841,0.83457,2.4448,H3 Total,SAHA 05 um
7396,2.3925,0.53234,2.4848,H3 Total,SAHA 05 um
7398,0.87756,0.73457,1.0304,H3 Total,SAHA 05 um
7403,0.58857,0.48823,0.77399,H3Kac,SAHA 05 um
7406,2.2156,0.50751,1.685,H3 Total,SAHA 05 um
7407,2.1585,0.62858,0.53667,H3Kac,SAHA 05 um
7408,1.6565,0.32834,0.65612,H3Kac,SAHA 05 um
7409,1.7732,1.9227,1.476,H3 Total,SAHA 05 um
7410,1.0627,0.42813,0.85245,H3Kac,SAHA 05 um
7411,2.7868,0.76962,1.444,H3 Total,SAHA 05 um
7412,3.4873,0.61815,0.98902,H3Kac,SAHA 05 um
7413,2.7277,0.5377,0.99884,H3Kac,SAHA 05 um
7415,0.9946,0.31334,2.0514,H3 Total,SAHA 05 um
7416,0.69796,0.34382,0.77454,H3Kac,SAHA 05 um
7417,2.5121,1.8052,1.6195,H3 Total,SAHA 05 um
7418,2.4725,0.39877,2.1237,H3 Total,SAHA 05 um
7419,0.76856,0.34765,1.0256,H3 Total,SAHA 05 um
7420,2.8979,1.4153,1.7867,H3 Total,SAHA 05 um
7426,0.91261,1.236,1.1206,H3 Total,SAHA 05 um
7428,1.341,0.40939,1.1696,H3 Total,SAHA 05 um
7430,2.9197,0.52323,1.0887,H3 Total,SAHA 05 um
7432,1.9784,0.35062,1.2219,H3 Total,SAHA 05 um
7435,1.0057,1.4,0.63211,H3Kac,SAHA 05 um
7436,2.44,0.52101,2.1826,H3 Total,SAHA 05 um
7437,1.9081,0.74216,0.79054,H3Kac,SAHA 05 um
7439,2.6296,0.46425,1.3217,H3 Total,SAHA 05 um
7440,0.75577,1.6833,0.53957,H3Kac,SAHA 05 um
7442,0.92536,0.40737,0.61723,H3Kac,SAHA 05 um
7445,2.6694,1.1182,1.057,H3 Total,SAHA 05 um
7446,2.6485,1.1847,0.42457,H3Kac,SAHA 05 um
7447,3.2701,0.83947,2.5621,H3 Total,SAHA 05 um
7448,1.9874,0.38042,2.2477,H3 Total,SAHA 05 um
7450,1.8201,1.1387,0.50593,H3Kac,SAHA 05 um
7451,0.91025,1.1623,0.36226,H3Kac,SAHA 05 um
7452,1.5637,0.39295,0.66957,H3Kac,SAHA 05 um
7453,0.58135,0.65345,0.74589,H3Kac,SAHA 05 um
7454,1.4945,1.7084,0.22586,H3Kac,SAHA 05 um
7460,2.13,1.6726,2.3375,H3 Total,SAHA 05 um
7461,2.6732,0.49379,1.4093,H3 Total,SAHA 05 um
7462,2.8717,0.32325,0.6508,H3Kac,SAHA 05 um
7463,1.8411,0.48278,0.57148,H3Kac,SAHA 05 um
7464,2.2565,1.8271,0.89163,H3Kac,SAHA 05 um
7465,1.8821,0.77518,1.9945,H3 Total,SAHA 05 um
7466,2.769,1.9178,1.5144,H3 Total,SAHA 05 um
7469,1.2712,0.43287,1.674,H3 Total,SAHA 05 um
7471,2.4555,0.45167,1.5706,H3 Total,SAHA 05 um
7474,0.53512,0.43121,1.7104,H3 Total,SAHA 05 um
7477,2.0186,0.43962,0.76545,H3Kac,SAHA 05 um
7479,1.6588,0.53419,2.5299,H3 Total,SAHA 05 um
7483,1.7637,1.9174,1.1845,H3 Total,SAHA 05 um
7488,1.099,0.61468,0.8338,H3Kac,SAHA 05 um
7489,2.0334,1.0791,3.1335,H3 Total,SAHA 05 um
7490,2.8848,1.4057,0.40434,H3Kac,SAHA 05 um
7491,1.5991,1.1193,0.27938,H3Kac,SAHA 05 um
7492,1.3445,0.3113,0.80077,H3Kac,SAHA 05 um
7497,0.8501,0.43585,1.092,H3 Total,SAHA 05 um
7498,1.0419,0.36269,0.70724,H3Kac,SAHA 05 um
7504,1.2882,0.85888,0.22687,H3Kac,SAHA 05 um
7505,1.4401,0.44393,0.7524,H3Kac,SAHA 05 um
7507,2.7473,0.5569,0.80095,H3Kac,SAHA 05 um
7509,1.2807,0.38001,2.9621,H3 Total,SAHA 05 um
7511,1.1878,0.37935,1.0817,H3 Total,SAHA 05 um
7512,2.9148,0.46407,1.4662,H3 Total,SAHA 05 um
7514,0.69198,0.90662,1.8092,H3 Total,SAHA 05 um
7515,0.064276,1.8287,1.288,H3 Total,SAHA 05 um
7516,2.6282,0.43551,0.55159,H3Kac,SAHA 05 um
7517,3.0518,0.44305,0.9316,H3Kac,SAHA 05 um
7518,0.98851,0.34452,1.5697,H3 Total,SAHA 05 um
7519,2.0326,1.8215,1.0101,H3Kac,SAHA 05 um
7522,1.7405,1.1657,0.14019,H3Kac,SAHA 05 um
7523,1.9641,0.40922,1.2103,H3 Total,SAHA 05 um
7526,1.5416,0.36786,2.0296,H3 Total,SAHA 05 um
7527,2.1355,0.95021,1.4269,H3 Total,SAHA 05 um
7528,1.3694,0.56526,1.6643,H3 Total,SAHA 05 um
7530,2.6608,0.48613,2.689,H3 Total,SAHA 05 um
7533,2.6475,0.82472,1.8494,H3 Total,SAHA 05 um
7534,1.2343,0.70373,0.21864,H3Kac,SAHA 05 um
7537,2.459,1.3195,1.9429,H3 Total,SAHA 05 um
7538,1.1595,0.69609,0.092648,H3Kac,SAHA 05 um
7539,2.6127,0.42893,1.2303,H3 Total,SAHA 05 um
7541,3.1812,1.5605,0.79045,H3Kac,SAHA 05 um
7542,1.4972,2.0028,1.5594,H3 Total,SAHA 05 um
7545,3.1483,0.55463,1.0223,H3 Total,SAHA 05 um
7548,2.7272,0.32378,0.75589,H3Kac,SAHA 05 um
7551,3.2346,0.37019,0.95886,H3Kac,SAHA 05 um
7552,2.3718,1.5414,2.278,H3 Total,SAHA 05 um
7556,0.03378,1.0519,1.4283,H3 Total,SAHA 05 um
7559,1.4934,0.37651,0.73404,H3Kac,SAHA 05 um
7566,1.2682,1.9294,3.3948,H3 Total,SAHA 05 um
7567,2.163,1.115,1.5817,H3 Total,SAHA 05 um
7568,1.2468,0.53474,0.85986,H3Kac,SAHA 05 um
7570,1.8706,0.58592,1.4138,H3 Total,SAHA 05 um
7572,2.2142,1.0056,3.126,H3 Total,SAHA 05 um
7573,1.5595,0.46516,2.1132,H3 Total,SAHA 05 um
7574,1.1885,0.29506,0.76518,H3Kac,SAHA 05 um
7575,0.95212,0.44989,0.6416,H3Kac,SAHA 05 um
7577,1.8083,0.39543,0.78823,H3Kac,SAHA 05 um
7581,0.031304,1.8618,2.0432,H3 Total,SAHA 05 um
7582,1.2989,0.81221,1.0565,H3 Total,SAHA 05 um
7583,1.0437,0.25235,1.4737,H3 Total,SAHA 05 um
7587,0.82652,0.24411,0.67642,H3Kac,SAHA 05 um
7590,2.5853,1.013,1.3437,H3 Total,SAHA 05 um
7591,1.3264,0.41377,1.4741,H3 Total,SAHA 05 um
7593,2.852,0.3869,0.82063,H3Kac,SAHA 05 um
7595,1.3487,0.92432,0.36041,H3Kac,SAHA 05 um
7597,2.4748,0.75679,0.92483,H3Kac,SAHA 05 um
7599,3.6134,1.7037,1.4716,H3 Total,SAHA 05 um
7600,0.65378,0.71575,2.099,H3 Total,SAHA 05 um
7601,1.5309,0.43904,0.83543,H3Kac,SAHA 05 um
