event,mfi,gate,OmiqFileIndex,genotype,feature
2124,0.80986,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2134,1.1939,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2150,0.63479,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2169,0.69872,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2183,0.64831,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2205,0.39516,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2228,0.62608,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2255,0.36751,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2273,0.53943,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2292,0.69668,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2321,0.57848,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2339,0.36113,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2349,0.73079,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2382,0.73343,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2400,0.70638,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2429,0.64839,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2440,0.79657,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2457,0.66327,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2481,0.30141,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2503,0.56721,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2518,0.56411,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2526,0.62234,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2564,0.62928,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2588,0.42796,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2617,0.62483,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2656,0.79573,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2689,0.82844,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2709,0.5993,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2727,0.48957,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2742,0.56728,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2770,0.62811,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2790,0.84024,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2812,0.56268,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2824,0.44823,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2834,0.48228,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2849,0.47545,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2858,0.62811,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2886,0.62009,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2909,0.62639,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2918,0.91555,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2927,0.36367,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2945,0.53159,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
2983,0.76871,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
